model,trial,position,variant,seconds,checksum,validation
squeezenet1.0-13-qdq,1,0,locality,0.0915915,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,1,1,base,0.178085292,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,2,0,locality,0.091560583,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,2,1,base,0.180291,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,3,0,base,0.178786333,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,3,1,locality,0.091263542,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,4,0,base,0.17904725,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,4,1,locality,0.091728,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,5,0,locality,0.092758417,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,5,1,base,0.178339625,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,6,0,locality,0.091602542,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,6,1,base,0.179478375,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,7,0,base,0.178686,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,7,1,locality,0.092481917,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,8,0,base,0.178311417,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,8,1,locality,0.092176583,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,9,0,locality,0.091674333,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,9,1,base,0.182443792,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,10,0,locality,0.094590042,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,10,1,base,0.180064292,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,11,0,base,0.184615834,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,11,1,locality,0.092702208,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,12,0,base,0.180116833,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,12,1,locality,0.091948084,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,13,0,locality,0.091756917,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,13,1,base,0.180402459,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,14,0,locality,0.096120084,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,14,1,base,0.181155666,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,15,0,base,0.182281583,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,15,1,locality,0.091662792,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,16,0,base,0.183469333,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,16,1,locality,0.091355667,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,17,0,locality,0.092560625,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,17,1,base,0.181445041,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,18,0,locality,0.092270667,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,18,1,base,0.18543025,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,19,0,base,0.183170167,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
squeezenet1.0-13-qdq,19,1,locality,0.092592875,f25a6d91c2c5fd4e,"max_abs_error,1.341105e-07,failed,0,threads,1,pass"
ultraface-rfb-320,0,0,base,0.040185666,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,0,1,locality,0.02694575,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,1,0,locality,0.02736,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,1,1,base,0.040198917,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,2,0,locality,0.027898542,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,2,1,base,0.040459833,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,3,0,base,0.04039,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
