model,trial,position,variant,seconds,checksum,validation
ultraface-rfb-320,14,2,locality,0.028640417,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,14,3,tvm,0.040238042,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,14,4,onnxmlir,0.013020833,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,15,0,ort,0.002966,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,15,1,onnxmlir,0.012508167,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,15,2,tvm,0.03971625,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,15,3,locality,0.027808917,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,15,4,base,0.041094209,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,16,0,base,0.041102041,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,16,1,ort,0.002898708,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,16,2,onnxmlir,0.011852708,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,16,3,tvm,0.039375042,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,16,4,locality,0.0278955,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,17,0,locality,0.028090667,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,17,1,base,0.041239125,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,17,2,ort,0.003543167,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,17,3,onnxmlir,0.012758459,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,17,4,tvm,0.039733958,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,18,0,tvm,0.0393965,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,18,1,locality,0.027875792,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,18,2,base,0.040050375,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,18,3,ort,0.002844292,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,18,4,onnxmlir,0.012705291,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,19,0,onnxmlir,0.01310275,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,19,1,tvm,0.039420791,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,19,2,locality,0.028094542,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,19,3,base,0.041396292,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,19,4,ort,0.003240958,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
